route,slug,sourceKind,tabStateCount,referenceStatus,referenceSource,visualStatus,visualDiffRatio,dimensionDelta,piiRisk,piiCategories,piiSignals,anonymizationPriority,anonymizationAction,anonymizationStatus
add-order,create_order_user,rendered,0,available,full-source,review,0.02711,1703x900 vs 1703x900,medium,address_fields|order_customer_context|sensitive_business_context,9,P1,anonymize during route parity pass,queued
addons,addon_buy_plugin,rendered,2,available,full-source,review,0.07986,1688x2155 vs 1688x2155,high,address_fields|email|order_customer_context,69,P0,anonymize before next public deploy,queued
admin-action,admin_action,safe-page:ok,0,missing,safe-capture,missing-reference,,,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,36,P1,anonymize during route parity pass,queued
admin-config-text-reference,admin_config_text_reference,safe-page:ok,0,missing,safe-capture,missing-reference,,,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,165,P1,anonymize during route parity pass,queued
admin-favourite-link,admin_favourite_link,rendered,0,available,full-source,review,0.05165,1703x900 vs 1703x900,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,115,P1,anonymize during route parity pass,queued
admin-group-action,admin_group_action,safe-page:ok,0,missing,safe-capture,missing-reference,,,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,28,P1,anonymize during route parity pass,queued
admin-left-menu-text-reference,admin_left_menu_text_reference,safe-page:ok,0,missing,safe-capture,missing-reference,,,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,22,P1,anonymize during route parity pass,queued
admin-price-calculator,admin_price_calculator,safe-page:ok,0,missing,safe-capture,missing-reference,,,medium,address_fields|sensitive_business_context,24,P1,anonymize during route parity pass,queued
admin-text,admin_constants,rendered,0,available,full-source,review,0.06071,1703x1146 vs 1703x1146,medium,address_fields|order_customer_context|sensitive_business_context|user_admin_identity,224,P1,anonymize during route parity pass,queued
admin-users,admin_listing,rendered,0,available,full-source,review,0.06286,1688x1681 vs 1688x1681,high,address_fields|email|sensitive_business_context|user_admin_identity,97,P0,anonymize before next public deploy,queued
