Icon Type,OPS Icon Class,In Our FA?,Replacement Icon Name,Replacement Link,Notes
OPS FA,fa-angle-double-left,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-double-left-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-double-right,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-double-right-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-double-up,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-double-up-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-down,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-down-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-left,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-left-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-right,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-right-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-angle-up,No,(Custom SVG Extracted),extracted-svgs/ops-fa-angle-up-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-arrows-rotate,No,(Custom SVG Extracted),extracted-svgs/ops-fa-arrows-rotate-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-award,No,(Custom SVG Extracted),extracted-svgs/ops-fa-award-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-balance-scale,No,(Custom SVG Extracted),extracted-svgs/ops-fa-balance-scale-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-ban,No,(Custom SVG Extracted),extracted-svgs/ops-fa-ban-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-barcode,No,(Custom SVG Extracted),extracted-svgs/ops-fa-barcode-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-bars,No,(Custom SVG Extracted),extracted-svgs/ops-fa-bars-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-bell,No,(Custom SVG Extracted),extracted-svgs/ops-fa-bell-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-bookmark,No,(Custom SVG Extracted),extracted-svgs/ops-fa-bookmark-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-boxes,No,(Custom SVG Extracted),extracted-svgs/ops-fa-boxes-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-calendar,No,(Custom SVG Extracted),extracted-svgs/ops-fa-calendar-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-camera-retro,No,(Custom SVG Extracted),extracted-svgs/ops-fa-camera-retro-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-caret-down,No,(Custom SVG Extracted),extracted-svgs/ops-fa-caret-down-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-caret-square-down,No,(Custom SVG Extracted),extracted-svgs/ops-fa-caret-square-down-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-cart-shopping,No,(Custom SVG Extracted),extracted-svgs/ops-fa-cart-shopping-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-chart-bar,No,(Custom SVG Extracted),extracted-svgs/ops-fa-chart-bar-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-chart-line,No,(Custom SVG Extracted),extracted-svgs/ops-fa-chart-line-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-chevron-down,No,(Custom SVG Extracted),extracted-svgs/ops-fa-chevron-down-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-chevron-right,No,(Custom SVG Extracted),extracted-svgs/ops-fa-chevron-right-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-chevron-up,No,(Custom SVG Extracted),extracted-svgs/ops-fa-chevron-up-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-circle-question,No,(Custom SVG Extracted),extracted-svgs/ops-fa-circle-question-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-clock,No,(Custom SVG Extracted),extracted-svgs/ops-fa-clock-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-cog,No,(Custom SVG Extracted),extracted-svgs/ops-fa-cog-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-cogs,No,(Custom SVG Extracted),extracted-svgs/ops-fa-cogs-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-columns,No,(Custom SVG Extracted),extracted-svgs/ops-fa-columns-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-comments,No,(Custom SVG Extracted),extracted-svgs/ops-fa-comments-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-copy,No,(Custom SVG Extracted),extracted-svgs/ops-fa-copy-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-desktop,No,(Custom SVG Extracted),extracted-svgs/ops-fa-desktop-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-dollar-sign,No,(Custom SVG Extracted),extracted-svgs/ops-fa-dollar-sign-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-envelope,No,(Custom SVG Extracted),extracted-svgs/ops-fa-envelope-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-exclamation-triangle,No,(Custom SVG Extracted),extracted-svgs/ops-fa-exclamation-triangle-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-expand,No,(Custom SVG Extracted),extracted-svgs/ops-fa-expand-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-eye,No,(Custom SVG Extracted),extracted-svgs/ops-fa-eye-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-eye-slash,No,(Custom SVG Extracted),extracted-svgs/ops-fa-eye-slash-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-file-alt,No,(Custom SVG Extracted),extracted-svgs/ops-fa-file-alt-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-file-code,No,(Custom SVG Extracted),extracted-svgs/ops-fa-file-code-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-file-lines,No,(Custom SVG Extracted),extracted-svgs/ops-fa-file-lines-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-file-pdf,No,(Custom SVG Extracted),extracted-svgs/ops-fa-file-pdf-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-file-signature,No,(Custom SVG Extracted),extracted-svgs/ops-fa-file-signature-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-gauge-high,No,(Custom SVG Extracted),extracted-svgs/ops-fa-gauge-high-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-gear,No,(Custom SVG Extracted),extracted-svgs/ops-fa-gear-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-gears,No,(Custom SVG Extracted),extracted-svgs/ops-fa-gears-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-globe,No,(Custom SVG Extracted),extracted-svgs/ops-fa-globe-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
